,user_id,session_id,views,carts,session_start
75,5073296643769010649,5073296643769010649-1483397707,2,2,2017-01-02 22:56:59.662000+00:00
76,5643892295624189366,5643892295624189366-1483399996,2,1,2017-01-02 23:33:16+00:00
77,2749976266885898269,2749976266885898269-1483400841,1,2,2017-01-02 23:48:14.911000+00:00
78,9297552608129152280,9297552608129152280-1483402077,5,15,2017-01-03 00:08:16.768000+00:00
79,2337697639527837397,2337697639527837397-1483404383,2,2,2017-01-03 00:46:35.760000+00:00
80,522074582151243533,522074582151243533-1483407049,1,1,2017-01-03 01:32:26.574000+00:00
81,4018761001291252736,4018761001291252736-1483408012,7,1,2017-01-03 01:47:13.243000+00:00
82,231196794478937829,231196794478937829-1483408445,1,1,2017-01-03 01:56:21.925000+00:00
83,4368490201485541564,4368490201485541564-1483409195,6,1,2017-01-03 02:06:44.030000+00:00
84,4475558287817613314,4475558287817613314-1483409086,6,2,2017-01-03 02:09:30.654000+00:00
85,9002858284477579512,9002858284477579512-1483409847,3,1,2017-01-03 02:23:13.869000+00:00
86,3658540564869953307,3658540564869953307-1483410821,4,3,2017-01-03 02:38:25.264000+00:00
87,5549014122183238560,5549014122183238560-1483414462,6,5,2017-01-03 03:34:41.712000+00:00
88,9211086930831041472,9211086930831041472-1483414921,1,1,2017-01-03 03:44:43.809000+00:00
89,6476771402553277537,6476771402553277537-1483415892,1,2,2017-01-03 04:01:12.807000+00:00
90,6784691807030459164,6784691807030459164-1483416184,2,1,2017-01-03 04:03:37.216000+00:00
91,0221926382100371761,0221926382100371761-1483416275,0,1,2017-01-03 04:05:56.464000+00:00
92,9155098171343500495,9155098171343500495-1483417255,1,1,2017-01-03 04:21:06.288000+00:00
93,4081358975408844045,4081358975408844045-1483417487,1,1,2017-01-03 04:26:46.343000+00:00
94,5439283458496901840,5439283458496901840-1483419079,2,1,2017-01-03 04:52:15.884000+00:00
95,0047868538532140235,0047868538532140235-1483422480,2,2,2017-01-03 05:55:06.687000+00:00
96,0824218829758504216,0824218829758504216-1483423901,9,4,2017-01-03 06:12:30.681000+00:00
97,0514369130431548060,0514369130431548060-1483423954,1,1,2017-01-03 06:13:39.508000+00:00
98,9639527157885066134,9639527157885066134-1483426995,1,1,2017-01-03 07:05:32.474000+00:00
99,0499437698165797351,0499437698165797351-1483428834,1,1,2017-01-03 07:34:25.622000+00:00
