,product_category,product_price,total_sessions,product_view_sessions,add_to_cart_sessions,purchase_sessions,view_to_cart_percentage,cart_to_purchase_percentage,view_to_purchase_percentage,avg_view_to_cart_sec,avg_cart_to_purchase_sec
1035,Home/Electronics/,44790000,12,14,0,0,0.0,,0.0,-104.0,
1036,Home/Electronics/,47190000,7,9,0,0,0.0,,0.0,,
1037,Home/Electronics/,47990000,10,11,0,0,0.0,,0.0,76.0,
1038,Home/Electronics/,49990000,2,2,0,0,0.0,,0.0,,
1039,Home/Electronics/,55990000,223,311,16,0,5.14,0.0,0.0,100.13,
1040,Home/Electronics/,58990000,73,97,5,0,5.15,0.0,0.0,662.5,394.0
1041,Home/Electronics/,59990000,320,452,17,0,3.76,0.0,0.0,21.11,
1042,Home/Electronics/,61590000,5,7,0,0,0.0,,0.0,-140.33,
1043,Home/Electronics/,63990000,12,17,4,0,23.53,0.0,0.0,,634.0
1044,Home/Electronics/,76990000,77,108,3,0,2.78,0.0,0.0,4.25,600.0
1045,Home/Electronics/,79990000,84,108,5,0,4.63,0.0,0.0,191.0,
1046,Home/Electronics/,83990000,1,1,0,0,0.0,,0.0,,
1047,Home/Electronics/,104990000,41,61,3,0,4.92,0.0,0.0,-385.5,
1048,Home/Electronics/,119990000,14,24,2,0,8.33,0.0,0.0,63.0,
1049,Home/Electronics/,145990000,215,274,23,0,8.39,0.0,0.0,125.13,78.0
1050,Home/Electronics/Audio/,8790000,21,30,19,0,63.33,0.0,0.0,102.8,445.0
1051,Home/Electronics/Audio/,10990000,239,321,61,0,19.0,0.0,0.0,168.81,488.33
1052,Home/Electronics/Audio/,22390000,14,14,4,0,28.57,0.0,0.0,158.33,
1053,Home/Electronics/Audio/,27990000,234,279,52,0,18.64,0.0,0.0,111.46,880.33
1054,Home/Electronics/Audio/,31990000,72,87,13,0,14.94,0.0,0.0,126.2,1474.5
1055,Home/Electronics/Audio/,34990000,465,617,137,0,22.2,0.0,0.0,94.97,1070.33
1056,Home/Electronics/Audio/,39990000,1058,1364,105,0,7.7,0.0,0.0,126.41,636.4
1057,Home/Electronics/Audio/,47990000,22,24,7,0,29.17,0.0,0.0,249.5,
1058,Home/Electronics/Audio/,49990000,428,590,68,0,11.53,0.0,0.0,81.36,404.0
1059,Home/Electronics/Audio/,59990000,249,306,39,0,12.75,0.0,0.0,151.39,866.67
1060,Home/Electronics/Audio/,61590000,15,17,0,0,0.0,,0.0,550.0,
1061,Home/Electronics/Audio/,63990000,23,24,5,0,20.83,0.0,0.0,-114.17,173.67
1062,Home/Electronics/Audio/,76990000,181,220,17,0,7.73,0.0,0.0,142.0,453.0
1063,Home/Electronics/Audio/,79990000,166,207,26,0,12.56,0.0,0.0,75.83,
1064,Home/Electronics/Audio/,83990000,4,9,1,0,11.11,0.0,0.0,,
1065,Home/Electronics/Audio/,104990000,81,134,2,0,1.49,0.0,0.0,27.8,
1066,Home/Electronics/Audio/,119990000,59,89,3,0,3.37,0.0,0.0,4.43,
1067,Home/Electronics/Audio/,145990000,593,793,51,0,6.43,0.0,0.0,53.84,603.0
1068,Home/Electronics/Electronics Accessories/,1200000,21,21,15,0,71.43,0.0,0.0,6.0,
1069,Home/Electronics/Electronics Accessories/,1500000,193,229,88,0,38.43,0.0,0.0,9.94,800.5
1070,Home/Electronics/Electronics Accessories/,1590000,3,3,1,0,33.33,0.0,0.0,,
1071,Home/Electronics/Electronics Accessories/,1990000,68,79,32,0,40.51,0.0,0.0,2.25,347.0
